이름,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,홈런,볼넷,고4,사구,삼진,보크,폭투,WHIP,ERA+,FIP+
유희관,220.0,5.0,2.0,173.0,78.0,46.0,1.0,4.0,1095.0,585.0,549.0,4754.0,1249.0,119.0,308.0,3.0,43.0,660.0,4.0,22.0,1.42,105.2,97.6
이현승,545.0,1.0,0.0,67.0,39.0,42.0,54.0,69.0,751.2,402.0,375.0,3291.0,817.0,76.0,273.0,14.0,37.0,537.0,4.0,22.0,1.45,103.1,105.0
배영수,475.0,11.0,3.0,358.0,137.0,121.0,3.0,7.0,2140.1,1169.0,1059.0,9340.0,2333.0,199.0,716.0,15.0,135.0,1427.0,12.0,95.0,1.43,102.3,107.4
허준혁,132.0,0.0,0.0,33.0,8.0,10.0,1.0,10.0,219.2,146.0,126.0,1018.0,242.0,32.0,128.0,7.0,19.0,144.0,0.0,8.0,1.68,90.8,76.1
윤명준,233.0,0.0,0.0,0.0,21.0,10.0,12.0,45.0,261.1,129.0,123.0,1133.0,273.0,24.0,95.0,4.0,13.0,189.0,1.0,15.0,1.41,107.6,98.9
윤수호,57.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,72.1,62.0,54.0,340.0,74.0,7.0,47.0,2.0,5.0,61.0,0.0,3.0,1.67,75.0,93.9
유재유,15.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,18.0,17.0,17.0,95.0,27.0,3.0,14.0,0.0,3.0,9.0,1.0,3.0,2.28,58.8,63.5
김민규,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,9.4,23.5
박신지,19.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,21.0,9.0,9.0,91.0,15.0,4.0,11.0,0.0,1.0,16.0,0.0,3.0,1.24,126.8,74.4
이형범,64.0,0.0,0.0,8.0,7.0,4.0,0.0,6.0,109.0,58.0,50.0,472.0,114.0,9.0,45.0,2.0,10.0,47.0,0.0,7.0,1.46,116.3,89.4
김경태,59.0,0.0,0.0,3.0,1.0,4.0,0.0,8.0,57.2,40.0,36.0,282.0,62.0,5.0,47.0,0.0,7.0,55.0,0.0,13.0,1.89,83.8,84.4
김민우,74.0,0.0,0.0,39.0,7.0,18.0,0.0,0.0,214.0,182.0,166.0,1027.0,283.0,30.0,107.0,3.0,24.0,150.0,1.0,13.0,1.82,73.1,86.0
김범수,102.0,0.0,0.0,12.0,6.0,13.0,0.0,7.0,125.2,95.0,93.0,606.0,141.0,18.0,97.0,1.0,8.0,108.0,0.0,24.0,1.89,76.4,80.4
김성훈,16.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,36.1,16.0,15.0,155.0,31.0,3.0,18.0,0.0,3.0,37.0,0.0,6.0,1.35,137.3,112.9
