이름,연도,피안타,피2루타,피3루타,피홈런,FIP,K/9,BB/9,삼진율,사구율,PFR,피안타율,피장타율,경기당이닝수,P/PA,뜬공/땅볼,장타/안타
하영민,2016,33,11,1,2,9,4.80,4.71,2.83,12.4,7.4,0.84,0.303,0.477,2.6,3.59,1.44
하영민,2017,49,11,1,5,30,6.07,4.57,5.96,11.2,14.6,1.17,0.287,0.45,1.6,3.62,0.98
하영민,2018,30,3,0,3,7,6.47,5.51,3.86,11.2,7.9,1.04,0.375,0.525,1.8,3.36,1.86
유원상,2015,44,9,1,6,12,5.59,5.35,2.92,13.5,7.4,0.92,0.306,0.507,1.5,3.77,1.11
유원상,2016,31,3,1,3,13,5.92,5.63,4.88,13.0,11.3,1.17,0.326,0.474,1.3,3.95,0.63
유원상,2017,8,0,0,0,4,5.51,1.23,4.91,2.8,11.1,0.68,0.286,0.286,1.2,3.67,0.58
유원상,2018,63,17,1,5,17,5.27,5.7,3.23,13.3,7.6,0.99,0.321,0.495,1.2,3.65,1.15
심동섭,2015,47,9,0,7,43,4.98,11.15,6.75,27.6,16.7,1.99,0.226,0.37,0.8,4.36,0.8
심동섭,2016,45,3,0,5,21,5.76,7.89,5.02,18.1,11.5,1.43,0.292,0.409,0.7,4.18,0.73
심동섭,2017,64,13,1,6,21,4.31,8.88,3.73,21.5,9.0,1.4,0.311,0.471,1.0,4.13,0.84
심동섭,2018,7,4,0,0,3,3.66,7.94,4.77,18.5,11.1,1.41,0.292,0.458,0.8,3.89,0.33
한승혁,2015,55,7,3,7,36,5.06,9.0,5.79,22.3,14.3,1.64,0.263,0.426,1.1,3.9,1.45
한승혁,2016,36,7,1,3,19,4.90,8.37,5.13,20.4,12.5,1.5,0.286,0.429,0.9,4.01,0.79
한승혁,2017,46,10,1,4,23,4.61,9.69,5.31,22.6,12.4,1.67,0.297,0.452,1.1,4.03,1.91
한승혁,2018,105,18,3,8,44,5.14,6.65,4.5,16.0,10.8,1.24,0.298,0.435,4.2,3.81,1.84
김사율,2015,40,13,2,4,11,5.17,8.42,3.86,19.0,8.7,1.36,0.367,0.633,1.2,3.81,0.67
김사율,2016,29,6,1,4,17,5.41,8.01,5.04,18.9,11.9,1.45,0.24,0.405,1.2,3.99,0.86
김사율,2017,51,11,1,7,8,5.52,7.27,2.08,17.0,4.8,1.04,0.336,0.559,1.8,3.71,0.83
